model,alns_runtime_seconds,alns_iterations,alns_accepts,alns_improvements,alns_new_best,gurobi_runtime_seconds,lp_iterations,barrier_iterations,nodes_explored,lp_relaxations_solved_estimate,rmp_solves,branch_price_nodes_explored,branch_price_nodes_remaining
baseline_irpt,9.271622124986607,2000.0,1888.0,594.0,1.0,9.271622124986607,0.0,0.0,2000.0,1.0,,,
cg_rmp_total,,,,,,0.053748130798339844,4983.0,0.0,0.0,11.0,11.0,15.0,4.0
