From,To,Distance_km,From_latlon,To_latlon
MM BIEN HOA,MM THANH XUAN,1121.2,"10.95592, 106.81199","20.99585, 105.84034"
MM BIEN HOA,MM VINH,865.2,"10.95592, 106.81199","18.66290, 105.70407"
MM BIEN HOA,MM VUNG TAU,74.1,"10.95592, 106.81199","10.34599, 107.08426"
MM BINH DUONG,South Ambient DC,14.2,"10.98040, 106.65190","10.89750, 106.75110"
MM BINH DUONG,MM AN PHU,23.4,"10.98040, 106.65190","10.79142, 106.74578"
MM BINH DUONG,MM BIEN HOA,17.7,"10.98040, 106.65190","10.95592, 106.81199"
MM BINH DUONG,MM BINH DUONG,0.0,"10.98040, 106.65190","10.98040, 106.65190"
MM BINH DUONG,MM BINH PHU,26.2,"10.98040, 106.65190","10.74533, 106.63228"
MM BINH DUONG,MM BUON MA THUOT,245.6,"10.98040, 106.65190","12.69771, 108.07174"
MM BINH DUONG,MM DA NANG,590.6,"10.98040, 106.65190","16.06778, 108.22083"
MM BINH DUONG,MM HA DONG,1114.3,"10.98040, 106.65190","20.96653, 105.77482"
MM BINH DUONG,MM HA LONG,1110.8,"10.98040, 106.65190","20.95880, 107.15422"
MM BINH DUONG,MM HIEP PHU,12.7,"10.98040, 106.65190","10.86690, 106.64185"
MM BINH DUONG,MM HOANG MAI,1113.4,"10.98040, 106.65190","20.96410, 105.85900"
MM BINH DUONG,MM HONG BANG,1099.1,"10.98040, 106.65190","20.86481, 106.68345"
MM BINH DUONG,MM HUNG LOI,144.5,"10.98040, 106.65190","10.01717, 105.76537"
MM BINH DUONG,MM LONG XUYEN,148.2,"10.98040, 106.65190","10.37043, 105.44585"
MM BINH DUONG,MM NHA TRANG,305.1,"10.98040, 106.65190","12.25744, 109.13105"
MM BINH DUONG,MM QUY NHON,414.5,"10.98040, 106.65190","13.74464, 109.21225"
MM BINH DUONG,MM RACH GIA,202.7,"10.98040, 106.65190","10.01250, 105.08090"
MM BINH DUONG,MM THANG LONG,1124.0,"10.98040, 106.65190","21.05450, 105.78230"
MM BINH DUONG,MM THANH XUAN,1117.0,"10.98040, 106.65190","20.99585, 105.84034"
MM BINH DUONG,MM VINH,860.3,"10.98040, 106.65190","18.66290, 105.70407"
MM BINH DUONG,MM VUNG TAU,84.9,"10.98040, 106.65190","10.34599, 107.08426"
MM BINH PHU,South Ambient DC,21.3,"10.74533, 106.63228","10.89750, 106.75110"
MM BINH PHU,MM AN PHU,13.4,"10.74533, 106.63228","10.79142, 106.74578"
MM BINH PHU,MM BIEN HOA,30.6,"10.74533, 106.63228","10.95592, 106.81199"
MM BINH PHU,MM BINH DUONG,26.2,"10.74533, 106.63228","10.98040, 106.65190"
MM BINH PHU,MM BINH PHU,0.0,"10.74533, 106.63228","10.74533, 106.63228"
MM BINH PHU,MM BUON MA THUOT,267.7,"10.74533, 106.63228","12.69771, 108.07174"
MM BINH PHU,MM DA NANG,616.2,"10.74533, 106.63228","16.06778, 108.22083"
