From,To,Distance_km,From_latlon,To_latlon
MM NHA TRANG,MM BIEN HOA,291.1,"12.25744, 109.13105","10.95592, 106.81199"
MM NHA TRANG,MM BINH DUONG,305.1,"12.25744, 109.13105","10.98040, 106.65190"
MM NHA TRANG,MM BINH PHU,320.0,"12.25744, 109.13105","10.74533, 106.63228"
MM NHA TRANG,MM BUON MA THUOT,125.0,"12.25744, 109.13105","12.69771, 108.07174"
MM NHA TRANG,MM DA NANG,434.9,"12.25744, 109.13105","16.06778, 108.22083"
MM NHA TRANG,MM HA DONG,1032.2,"12.25744, 109.13105","20.96653, 105.77482"
MM NHA TRANG,MM HA LONG,990.2,"12.25744, 109.13105","20.95880, 107.15422"
MM NHA TRANG,MM HIEP PHU,312.1,"12.25744, 109.13105","10.86690, 106.64185"
MM NHA TRANG,MM HOANG MAI,1028.9,"12.25744, 109.13105","20.96410, 105.85900"
MM NHA TRANG,MM HONG BANG,991.9,"12.25744, 109.13105","20.86481, 106.68345"
MM NHA TRANG,MM HUNG LOI,443.7,"12.25744, 109.13105","10.01717, 105.76537"
MM NHA TRANG,MM LONG XUYEN,453.3,"12.25744, 109.13105","10.37043, 105.44585"
MM NHA TRANG,MM NHA TRANG,0.0,"12.25744, 109.13105","12.25744, 109.13105"
MM NHA TRANG,MM QUY NHON,165.6,"12.25744, 109.13105","13.74464, 109.21225"
MM NHA TRANG,MM RACH GIA,507.5,"12.25744, 109.13105","10.01250, 105.08090"
MM NHA TRANG,MM THANG LONG,1041.1,"12.25744, 109.13105","21.05450, 105.78230"
MM NHA TRANG,MM THANH XUAN,1032.8,"12.25744, 109.13105","20.99585, 105.84034"
MM NHA TRANG,MM VINH,801.3,"12.25744, 109.13105","18.66290, 105.70407"
MM NHA TRANG,MM VUNG TAU,308.2,"12.25744, 109.13105","10.34599, 107.08426"
MM QUY NHON,South Ambient DC,414.4,"13.74464, 109.21225","10.89750, 106.75110"
MM QUY NHON,MM AN PHU,423.8,"13.74464, 109.21225","10.79142, 106.74578"
MM QUY NHON,MM BIEN HOA,405.1,"13.74464, 109.21225","10.95592, 106.81199"
MM QUY NHON,MM BINH DUONG,414.5,"13.74464, 109.21225","10.98040, 106.65190"
MM QUY NHON,MM BINH PHU,435.7,"13.74464, 109.21225","10.74533, 106.63228"
MM QUY NHON,MM BUON MA THUOT,169.7,"13.74464, 109.21225","12.69771, 108.07174"
MM QUY NHON,MM DA NANG,279.4,"13.74464, 109.21225","16.06778, 108.22083"
MM QUY NHON,MM HA DONG,881.9,"13.74464, 109.21225","20.96653, 105.77482"
MM QUY NHON,MM HA LONG,831.3,"13.74464, 109.21225","20.95880, 107.15422"
MM QUY NHON,MM HIEP PHU,424.7,"13.74464, 109.21225","10.86690, 106.64185"
MM QUY NHON,MM HOANG MAI,878.0,"13.74464, 109.21225","20.96410, 105.85900"
MM QUY NHON,MM HONG BANG,835.9,"13.74464, 109.21225","20.86481, 106.68345"
MM QUY NHON,MM HUNG LOI,558.9,"13.74464, 109.21225","10.01717, 105.76537"
MM QUY NHON,MM LONG XUYEN,555.4,"13.74464, 109.21225","10.37043, 105.44585"
MM QUY NHON,MM NHA TRANG,165.6,"13.74464, 109.21225","12.25744, 109.13105"
MM QUY NHON,MM QUY NHON,0.0,"13.74464, 109.21225","13.74464, 109.21225"
MM QUY NHON,MM RACH GIA,611.7,"13.74464, 109.21225","10.01250, 105.08090"
MM QUY NHON,MM THANG LONG,890.4,"13.74464, 109.21225","21.05450, 105.78230"
MM QUY NHON,MM THANH XUAN,882.0,"13.74464, 109.21225","20.99585, 105.84034"
MM QUY NHON,MM VINH,662.8,"13.74464, 109.21225","18.66290, 105.70407"
MM QUY NHON,MM VUNG TAU,443.1,"13.74464, 109.21225","10.34599, 107.08426"
MM RACH GIA,South Ambient DC,207.5,"10.01250, 105.08090","10.89750, 106.75110"
MM RACH GIA,MM AN PHU,201.6,"10.01250, 105.08090","10.79142, 106.74578"
MM RACH GIA,MM BIEN HOA,216.4,"10.01250, 105.08090","10.95592, 106.81199"
MM RACH GIA,MM BINH DUONG,202.7,"10.01250, 105.08090","10.98040, 106.65190"
MM RACH GIA,MM BINH PHU,188.2,"10.01250, 105.08090","10.74533, 106.63228"
MM RACH GIA,MM BUON MA THUOT,442.1,"10.01250, 105.08090","12.69771, 108.07174"
MM RACH GIA,MM DA NANG,754.3,"10.01250, 105.08090","16.06778, 108.22083"
MM RACH GIA,MM HA DONG,1220.3,"10.01250, 105.08090","20.96653, 105.77482"
MM RACH GIA,MM HA LONG,1237.2,"10.01250, 105.08090","20.95880, 107.15422"
MM RACH GIA,MM HIEP PHU,195.4,"10.01250, 105.08090","10.86690, 106.64185"
MM RACH GIA,MM HOANG MAI,1220.6,"10.01250, 105.08090","20.96410, 105.85900"
MM RACH GIA,MM HONG BANG,1218.8,"10.01250, 105.08090","20.86481, 106.68345"
MM RACH GIA,MM HUNG LOI,75.0,"10.01250, 105.08090","10.01717, 105.76537"
MM RACH GIA,MM LONG XUYEN,56.4,"10.01250, 105.08090","10.37043, 105.44585"
MM RACH GIA,MM NHA TRANG,507.5,"10.01250, 105.08090","12.25744, 109.13105"
MM RACH GIA,MM QUY NHON,611.7,"10.01250, 105.08090","13.74464, 109.21225"
MM RACH GIA,MM RACH GIA,0.0,"10.01250, 105.08090","10.01250, 105.08090"
MM RACH GIA,MM THANG LONG,1230.1,"10.01250, 105.08090","21.05450, 105.78230"
MM RACH GIA,MM THANH XUAN,1224.0,"10.01250, 105.08090","20.99585, 105.84034"
MM RACH GIA,MM VINH,964.2,"10.01250, 105.08090","18.66290, 105.70407"
MM RACH GIA,MM VUNG TAU,222.4,"10.01250, 105.08090","10.34599, 107.08426"
MM THANG LONG,South Ambient DC,1134.1,"21.05450, 105.78230","10.89750, 106.75110"
MM THANG LONG,MM AN PHU,1145.8,"21.05450, 105.78230","10.79142, 106.74578"
MM THANG LONG,MM BIEN HOA,1128.3,"21.05450, 105.78230","10.95592, 106.81199"
MM THANG LONG,MM BINH DUONG,1124.0,"21.05450, 105.78230","10.98040, 106.65190"
MM THANG LONG,MM BINH PHU,1149.9,"21.05450, 105.78230","10.74533, 106.63228"
MM THANG LONG,MM BUON MA THUOT,960.6,"21.05450, 105.78230","12.69771, 108.07174"
MM THANG LONG,MM DA NANG,611.1,"21.05450, 105.78230","16.06778, 108.22083"
MM THANG LONG,MM HA DONG,9.8,"21.05450, 105.78230","20.96653, 105.77482"
MM THANG LONG,MM HA LONG,142.8,"21.05450, 105.78230","20.95880, 107.15422"
MM THANG LONG,MM HIEP PHU,1136.5,"21.05450, 105.78230","10.86690, 106.64185"
MM THANG LONG,MM HOANG MAI,12.8,"21.05450, 105.78230","20.96410, 105.85900"
MM THANG LONG,MM HONG BANG,95.9,"21.05450, 105.78230","20.86481, 106.68345"
MM THANG LONG,MM HUNG LOI,1227.3,"21.05450, 105.78230","10.01717, 105.76537"
MM THANG LONG,MM LONG XUYEN,1188.6,"21.05450, 105.78230","10.37043, 105.44585"
MM THANG LONG,MM NHA TRANG,1041.1,"21.05450, 105.78230","12.25744, 109.13105"
MM THANG LONG,MM QUY NHON,890.4,"21.05450, 105.78230","13.74464, 109.21225"
MM THANG LONG,MM RACH GIA,1230.1,"21.05450, 105.78230","10.01250, 105.08090"
MM THANG LONG,MM THANG LONG,0.0,"21.05450, 105.78230","21.05450, 105.78230"
MM THANG LONG,MM THANH XUAN,8.9,"21.05450, 105.78230","20.99585, 105.84034"
MM THANG LONG,MM VINH,266.1,"21.05450, 105.78230","18.66290, 105.70407"
MM THANG LONG,MM VUNG TAU,1198.8,"21.05450, 105.78230","10.34599, 107.08426"
MM THANH XUAN,South Ambient DC,1127.1,"20.99585, 105.84034","10.89750, 106.75110"
MM THANH XUAN,MM AN PHU,1138.8,"20.99585, 105.84034","10.79142, 106.74578"
MM THANH XUAN,MM BIEN HOA,1121.2,"20.99585, 105.84034","10.95592, 106.81199"
MM THANH XUAN,MM BINH DUONG,1117.0,"20.99585, 105.84034","10.98040, 106.65190"
MM THANH XUAN,MM BINH PHU,1142.9,"20.99585, 105.84034","10.74533, 106.63228"
MM THANH XUAN,MM BUON MA THUOT,952.7,"20.99585, 105.84034","12.69771, 108.07174"
MM THANH XUAN,MM DA NANG,602.7,"20.99585, 105.84034","16.06778, 108.22083"
MM THANH XUAN,MM HA DONG,7.5,"20.99585, 105.84034","20.96653, 105.77482"
MM THANH XUAN,MM HA LONG,136.5,"20.99585, 105.84034","20.95880, 107.15422"
MM THANH XUAN,MM HIEP PHU,1129.5,"20.99585, 105.84034","10.86690, 106.64185"
MM THANH XUAN,MM HOANG MAI,4.0,"20.99585, 105.84034","20.96410, 105.85900"
MM THANH XUAN,MM HONG BANG,88.8,"20.99585, 105.84034","20.86481, 106.68345"
MM THANH XUAN,MM HUNG LOI,1220.8,"20.99585, 105.84034","10.01717, 105.76537"
MM THANH XUAN,MM LONG XUYEN,1182.2,"20.99585, 105.84034","10.37043, 105.44585"
MM THANH XUAN,MM NHA TRANG,1032.8,"20.99585, 105.84034","12.25744, 109.13105"
MM THANH XUAN,MM QUY NHON,882.0,"20.99585, 105.84034","13.74464, 109.21225"
MM THANH XUAN,MM RACH GIA,1224.0,"20.99585, 105.84034","10.01250, 105.08090"
MM THANH XUAN,MM THANG LONG,8.9,"20.99585, 105.84034","21.05450, 105.78230"
MM THANH XUAN,MM THANH XUAN,0.0,"20.99585, 105.84034","20.99585, 105.84034"
MM THANH XUAN,MM VINH,259.8,"20.99585, 105.84034","18.66290, 105.70407"
MM THANH XUAN,MM VUNG TAU,1191.6,"20.99585, 105.84034","10.34599, 107.08426"
MM VINH,South Ambient DC,870.8,"18.66290, 105.70407","10.89750, 106.75110"
MM VINH,MM AN PHU,882.4,"18.66290, 105.70407","10.79142, 106.74578"
MM VINH,MM BIEN HOA,865.2,"18.66290, 105.70407","10.95592, 106.81199"
MM VINH,MM BINH DUONG,860.3,"18.66290, 105.70407","10.98040, 106.65190"
MM VINH,MM BINH PHU,886.0,"18.66290, 105.70407","10.74533, 106.63228"
MM VINH,MM BUON MA THUOT,710.0,"18.66290, 105.70407","12.69771, 108.07174"
MM VINH,MM DA NANG,393.2,"18.66290, 105.70407","16.06778, 108.22083"
MM VINH,MM HA DONG,256.3,"18.66290, 105.70407","20.96653, 105.77482"
MM VINH,MM HA LONG,297.0,"18.66290, 105.70407","20.95880, 107.15422"
MM VINH,MM HIEP PHU,872.7,"18.66290, 105.70407","10.86690, 106.64185"
MM VINH,MM HOANG MAI,256.4,"18.66290, 105.70407","20.96410, 105.85900"
MM VINH,MM HONG BANG,265.4,"18.66290, 105.70407","20.86481, 106.68345"
MM VINH,MM HUNG LOI,961.4,"18.66290, 105.70407","10.01717, 105.76537"
MM VINH,MM LONG XUYEN,922.5,"18.66290, 105.70407","10.37043, 105.44585"
MM VINH,MM NHA TRANG,801.3,"18.66290, 105.70407","12.25744, 109.13105"
MM VINH,MM QUY NHON,662.8,"18.66290, 105.70407","13.74464, 109.21225"
MM VINH,MM RACH GIA,964.2,"18.66290, 105.70407","10.01250, 105.08090"
MM VINH,MM THANG LONG,266.1,"18.66290, 105.70407","21.05450, 105.78230"
MM VINH,MM THANH XUAN,259.8,"18.66290, 105.70407","20.99585, 105.84034"
MM VINH,MM VINH,0.0,"18.66290, 105.70407","18.66290, 105.70407"
MM VINH,MM VUNG TAU,936.6,"18.66290, 105.70407","10.34599, 107.08426"
MM VUNG TAU,South Ambient DC,71.3,"10.34599, 107.08426","10.89750, 106.75110"
MM VUNG TAU,MM AN PHU,61.8,"10.34599, 107.08426","10.79142, 106.74578"
MM VUNG TAU,MM BIEN HOA,74.1,"10.34599, 107.08426","10.95592, 106.81199"
MM VUNG TAU,MM BINH DUONG,84.9,"10.34599, 107.08426","10.98040, 106.65190"
MM VUNG TAU,MM BINH PHU,66.4,"10.34599, 107.08426","10.74533, 106.63228"
MM VUNG TAU,MM BUON MA THUOT,282.8,"10.34599, 107.08426","12.69771, 108.07174"
MM VUNG TAU,MM DA NANG,648.0,"10.34599, 107.08426","16.06778, 108.22083"
MM VUNG TAU,MM HA DONG,1189.2,"10.34599, 107.08426","20.96653, 105.77482"
MM VUNG TAU,MM HA LONG,1180.1,"10.34599, 107.08426","20.95880, 107.15422"
MM VUNG TAU,MM HIEP PHU,75.5,"10.34599, 107.08426","10.86690, 106.64185"
MM VUNG TAU,MM HOANG MAI,1187.9,"10.34599, 107.08426","20.96410, 105.85900"
MM VUNG TAU,MM HONG BANG,1170.4,"10.34599, 107.08426","20.86481, 106.68345"
MM VUNG TAU,MM HUNG LOI,148.9,"10.34599, 107.08426","10.01717, 105.76537"
MM VUNG TAU,MM LONG XUYEN,179.2,"10.34599, 107.08426","10.37043, 105.44585"
MM VUNG TAU,MM NHA TRANG,308.2,"10.34599, 107.08426","12.25744, 109.13105"
MM VUNG TAU,MM QUY NHON,443.1,"10.34599, 107.08426","13.74464, 109.21225"
MM VUNG TAU,MM RACH GIA,222.4,"10.34599, 107.08426","10.01250, 105.08090"
MM VUNG TAU,MM THANG LONG,1198.8,"10.34599, 107.08426","21.05450, 105.78230"
MM VUNG TAU,MM THANH XUAN,1191.6,"10.34599, 107.08426","20.99585, 105.84034"
MM VUNG TAU,MM VINH,936.6,"10.34599, 107.08426","18.66290, 105.70407"
MM VUNG TAU,MM VUNG TAU,0.0,"10.34599, 107.08426","10.34599, 107.08426"
