variant,n_repeats_successful,rmp_objective_mean,rmp_objective_std,rmp_objective_min,rmp_objective_max,realized_cost_no_lt_mean,realized_cost_no_lt_std,realized_cost_no_lt_min,realized_cost_no_lt_max,realized_cost_with_lt_mean,realized_cost_with_lt_std,realized_cost_with_lt_min,realized_cost_with_lt_max,lt_cost_with_lt_mean,lt_cost_with_lt_std,lt_cost_with_lt_min,lt_cost_with_lt_max,shortage_cost_with_lt_mean,shortage_cost_with_lt_std,shortage_cost_with_lt_min,shortage_cost_with_lt_max,cg_iterations_mean,cg_iterations_std,cg_iterations_min,cg_iterations_max,total_runtime_seconds_mean,total_runtime_seconds_std,total_runtime_seconds_min,total_runtime_seconds_max,variant_runtime_seconds_mean,variant_runtime_seconds_std,variant_runtime_seconds_min,variant_runtime_seconds_max,shared_baseline_runtime_seconds_mean,shared_baseline_runtime_seconds_std,shared_baseline_runtime_seconds_min,shared_baseline_runtime_seconds_max,total_runtime_with_shared_baseline_seconds_mean,total_runtime_with_shared_baseline_seconds_std,total_runtime_with_shared_baseline_seconds_min,total_runtime_with_shared_baseline_seconds_max,cached_baseline_runtime_seconds_mean,cached_baseline_runtime_seconds_std,cached_baseline_runtime_seconds_min,cached_baseline_runtime_seconds_max,phase1_baseline_runtime_seconds_mean,phase1_baseline_runtime_seconds_std,phase1_baseline_runtime_seconds_min,phase1_baseline_runtime_seconds_max,phase2_cg_runtime_seconds_mean,phase2_cg_runtime_seconds_std,phase2_cg_runtime_seconds_min,phase2_cg_runtime_seconds_max,gnn_inference_runtime_seconds_mean,gnn_inference_runtime_seconds_std,gnn_inference_runtime_seconds_min,gnn_inference_runtime_seconds_max,columns_generated_mean,columns_generated_std,columns_generated_min,columns_generated_max,columns_selected_by_gnn_mean,columns_selected_by_gnn_std,columns_selected_by_gnn_min,columns_selected_by_gnn_max,columns_added_to_rmp_mean,columns_added_to_rmp_std,columns_added_to_rmp_min,columns_added_to_rmp_max,column_pool_utilization_mean,column_pool_utilization_std,column_pool_utilization_min,column_pool_utilization_max,gnn_scoring_failures_mean,gnn_scoring_failures_std,gnn_scoring_failures_min,gnn_scoring_failures_max
A0_cg_full_exact,50,2438387372.939032,18843035.756235465,2395165610.1447196,2463186404.8158555,254523612.43448007,47366320.20471437,131397726.192,310414702.008,211121399.27932662,34930930.28725646,111079190.181989,252184781.35996,10373.038286580002,4263.012476761769,4165.932155,19735.935961,8301690.931999999,11191719.523788927,466400.0,39830870.2,42.76,0.6183849933496122,42.0,44.0,4.778206778219997,1.0290754922854348,2.3678882039998825,6.855672152999887,4.778206778219997,1.0290754922854348,2.3678882039998825,6.855672152999887,0.0,0.0,0.0,0.0,4.778206778219997,1.0290754922854348,2.3678882039998825,6.855672152999887,691.3046312520001,9.094947017729282e-13,691.304631252,691.304631252,691.134889715,5.684341886080801e-13,691.1348897149999,691.1348897149999,0.0208336877822876,0.007689915853415094,0.008730888366699219,0.03705596923828125,0.0,0.0,0.0,0.0,319.1,100.062630387173,156.0,516.0,319.1,100.062630387173,156.0,516.0,293.52,79.99605990297272,152.0,418.0,0.6140020637655395,0.04727669751832362,0.4979919678714859,0.6794717887154862,0.0,0.0,0.0,0.0
A_classical_cg,50,2439010498.4731617,18508713.35229378,2396978509.763541,2463678122.895434,254523612.43448007,47366320.20471437,131397726.192,310414702.008,211232746.13392502,34921445.252727196,111207535.665894,252210156.448566,10252.918805,4198.414572337334,4100.220738,19486.811575,8413138.784,11168909.59310012,462549.0,40089739.8,45.58,1.3869390758068645,43.0,49.0,5.256420049099997,1.2584543555313867,2.2381172479999805,6.655588014999921,5.256420049099997,1.2584543555313867,2.2381172479999805,6.655588014999921,0.0,0.0,0.0,0.0,5.256420049099997,1.2584543555313867,2.2381172479999805,6.655588014999921,691.3046312520001,9.094947017729282e-13,691.304631252,691.304631252,691.134889715,5.684341886080801e-13,691.1348897149999,691.1348897149999,0.023855681419372558,0.012913196345372786,0.007180929183959961,0.05268049240112305,0.0,0.0,0.0,0.0,460.1,125.69013485552475,244.0,641.0,460.1,125.69013485552475,244.0,641.0,450.48,125.08864696686106,240.0,640.0,0.5798518935804206,0.048621505294457884,0.45663716814159294,0.6376404494382022,0.0,0.0,0.0,0.0
B_heuristic_cg,50,2439277505.7581067,18450448.030558422,2396997394.647732,2463723538.893361,254523612.43448007,47366320.20471437,131397726.192,310414702.008,211401133.11251807,34951151.530955225,111214143.994058,251988012.468173,10237.57611808,4183.581889352828,4172.611298,19519.95896,8581557.116,11175120.707462583,453824.2,39867596.4,39.94,10.34680627053585,22.0,56.0,8.932474466699992,3.5671542217156897,2.466847196999879,14.437579612000263,8.932474466699992,3.5671542217156897,2.466847196999879,14.437579612000263,0.0,0.0,0.0,0.0,8.932474466699992,3.5671542217156897,2.466847196999879,14.437579612000263,691.3046312520001,9.094947017729282e-13,691.304631252,691.304631252,691.134889715,5.684341886080801e-13,691.1348897149999,691.1348897149999,0.20144516468048096,0.08287088975790734,0.052985191345214844,0.3321375846862793,0.0,0.0,0.0,0.0,5625.42,2491.6933526419343,1749.0,9307.0,375.12,103.03060516176734,200.0,536.0,375.12,103.03060516176734,200.0,536.0,0.6190918413122429,0.04685127927807193,0.5018939393939394,0.6778797145769623,0.0,0.0,0.0,0.0
C_gnn_guided_cg,50,2439010498.4731617,18508713.35229378,2396978509.763541,2463678122.895434,254523612.43448007,47366320.20471437,131397726.192,310414702.008,211232746.13392502,34921445.252727196,111207535.665894,252210156.448566,10252.918805,4198.414572337334,4100.220738,19486.811575,8413138.784,11168909.59310012,462549.0,40089739.8,45.58,1.3869390758068645,43.0,49.0,5.446362628999973,1.318061341855781,2.3763530160001665,7.164187799000047,5.446362628999973,1.318061341855781,2.3763530160001665,7.164187799000047,0.0,0.0,0.0,0.0,5.446362628999973,1.318061341855781,2.3763530160001665,7.164187799000047,691.3046312520001,9.094947017729282e-13,691.304631252,691.304631252,691.134889715,5.684341886080801e-13,691.1348897149999,691.1348897149999,0.023785405158996582,0.012832967269509615,0.007266044616699219,0.05196666717529297,0.0,0.0,0.0,0.0,460.1,125.69013485552475,244.0,641.0,460.1,125.69013485552475,244.0,641.0,450.48,125.08864696686106,240.0,640.0,0.5798518935804206,0.048621505294457884,0.45663716814159294,0.6376404494382022,8.72,6.264311614215885,4.0,24.0
