variant,run_label,source_instance,dataset_id,scenario_id,seed,benchmark_mode,rmp_objective,realized_cost_no_lt,realized_cost_with_lt,final_objective_or_total_cost,lt_cost_with_lt,shortage_cost_with_lt,cg_iterations,stopping_reason,total_runtime_seconds,variant_runtime_seconds,shared_baseline_runtime_seconds,total_runtime_with_shared_baseline_seconds,phase1_baseline_runtime_seconds,phase2_cg_runtime_seconds,gnn_inference_runtime_seconds,post_run_fine_tune_runtime_seconds,columns_generated,columns_selected_by_gnn,columns_added_to_rmp,column_pool_utilization,gnn_scoring_failures,repeat,shock_world_id,window_id,shock_seed,window_start_period,window_end_period,window_n_periods,baseline_cache_path,cached_baseline_runtime_seconds,a0_exact_pricing_time_limit
A0_cg_full_exact,A0_cg_full_exact__shock02_window01,,,shock02_window01,10049,sliced_cg_only_cached_baseline,2461570698.3898673,234346779.6848,221321650.800955,221321650.800955,4165.932155,582119.8,42,convergence_no_negative_rc,3.592124945000023,3.592124945000023,0.0,3.592124945000023,691.1348897149999,0.010490894317626953,0.0,0.0,176,176,170,0.498989898989899,0,11,2,1,10049,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window02,,,shock02_window02,10049,sliced_cg_only_cached_baseline,2443144704.079505,252868644.624,218075484.325302,218075484.325302,8372.285302,2996217.2,43,convergence_no_negative_rc,4.533425312999952,4.533425312999952,0.0,4.533425312999952,691.1348897149999,0.021468162536621094,0.0,0.0,271,271,271,0.5883256528417818,0,12,2,2,10049,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window03,,,shock02_window03,10049,sliced_cg_only_cached_baseline,2441918671.4712954,259360183.828,223639344.276005,223639344.276005,8815.488005,10694263.4,43,convergence_no_negative_rc,4.602778939000018,4.602778939000018,0.0,4.602778939000018,691.1348897149999,0.023186922073364258,0.0,0.0,280,280,280,0.6196969696969697,0,13,2,3,10049,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window04,,,shock02_window04,10049,sliced_cg_only_cached_baseline,2440784531.401787,245891968.056,213768675.322692,213768675.322692,8981.730692,1611063.0,43,convergence_no_negative_rc,4.355222519000108,4.355222519000108,0.0,4.355222519000108,691.1348897149999,0.012758970260620117,0.0,0.0,250,250,250,0.6378787878787879,0,14,2,4,10049,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window05,,,shock02_window05,10049,sliced_cg_only_cached_baseline,2463186404.8158555,310075339.068,251727226.138054,251727226.138054,12412.142054,39606702.2,42,convergence_no_negative_rc,5.669643279999946,5.669643279999946,0.0,5.669643279999946,691.1348897149999,0.020112037658691406,0.0,0.0,365,365,365,0.6178571428571429,0,15,2,5,10049,77,95,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window06,,,shock02_window06,10049,sliced_cg_only_cached_baseline,2434742150.5396304,256475579.668,213575730.947431,213575730.947431,9908.975431,3203411.4,42,convergence_no_negative_rc,5.112351117000117,5.112351117000117,0.0,5.112351117000117,691.1348897149999,0.017572879791259766,0.0,0.0,387,387,315,0.6354430379746835,0,16,2,6,10049,96,114,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window07,,,shock02_window07,10049,sliced_cg_only_cached_baseline,2432921915.1282725,276694539.952,222102484.354564,222102484.354564,12816.218564,12177172.4,43,convergence_no_negative_rc,5.241511080999999,5.241511080999999,0.0,5.241511080999999,691.1348897149999,0.028109073638916016,0.0,0.0,348,348,348,0.6354799513973268,0,17,2,7,10049,115,133,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window08,,,shock02_window08,10049,sliced_cg_only_cached_baseline,2417889452.8125434,267404432.488,213373315.735521,213373315.735521,13583.047521,2356107.4,42,convergence_no_negative_rc,4.8910948239999925,4.8910948239999925,0.0,4.8910948239999925,691.1348897149999,0.017200946807861328,0.0,0.0,360,360,360,0.6730538922155689,0,18,2,8,10049,134,152,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window09,,,shock02_window09,10049,sliced_cg_only_cached_baseline,2398754988.8367176,309589654.608,223366590.735082,223366590.735082,19364.023082,10960269.6,43,convergence_no_negative_rc,5.739148095000019,5.739148095000019,0.0,5.739148095000019,691.1348897149999,0.02968287467956543,0.0,0.0,505,505,403,0.6594533029612756,0,19,2,9,10049,153,171,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window10,,,shock02_window10,10049,sliced_cg_only_cached_baseline,2452720391.004899,131664993.312,111187188.6341,111187188.6341,4784.9221,532675.0,42,convergence_no_negative_rc,2.3678882039998825,2.3678882039998825,0.0,2.3678882039998825,691.1348897149999,0.008730888366699219,0.0,0.0,161,161,161,0.5888077858880778,0,20,2,10,10049,172,181,10,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
