iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
52,21034796876.7,21034796876.7,21034738960.3,951554946.0626868,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
53,21034796876.7,21034796876.7,21034738960.3,949651836.1705614,1.0,0.0,destroy_worst_delivery,repair_random,1.0
54,21034796876.7,21034805663.499996,21034738960.3,947752532.4982203,0.0,0.0,destroy_random_delivery,repair_random,0.0
55,21034796876.7,21034805592.5,21034738960.3,945857027.4332238,0.0,0.0,destroy_random_route,repair_greedy,0.0
56,21034796876.7,21034796876.7,21034738960.3,943965313.3783574,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
57,21034796876.7,21034805592.5,21034738960.3,942077382.7516007,0.0,0.0,destroy_random_period,repair_greedy,0.0
58,21034796876.7,21034796876.7,21034738960.3,940193227.9860976,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
59,21034796876.7,21034796876.7,21034738960.3,938312841.5301254,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
60,21034796876.7,21034805592.5,21034738960.3,936436215.8470651,0.0,0.0,destroy_random_delivery,repair_greedy,0.0
61,21034796876.7,21034805592.5,21034738960.3,934563343.415371,0.0,0.0,destroy_random_route,repair_regret2,0.0
62,21034796876.7,21034805592.5,21034738960.3,932694216.7285402,0.0,0.0,destroy_random_route,repair_random,0.0
63,21034796876.7,21034805663.499996,21034738960.3,930828828.295083,0.0,0.0,destroy_shaw_stores,repair_random,0.0
64,21034796876.7,21034805592.5,21034738960.3,928967170.6384928,0.0,0.0,destroy_random_period,repair_regret2,0.0
65,21034796876.7,21034796876.7,21034738960.3,927109236.2972158,1.0,0.0,destroy_random_delivery,repair_random,1.0
66,21034796876.7,21034805592.5,21034738960.3,925255017.8246214,0.0,0.0,destroy_random_route,repair_regret2,0.0
67,21034796876.7,21034796876.7,21034738960.3,923404507.7889721,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
68,21034796876.7,21034805663.499996,21034738960.3,921557698.7733942,0.0,0.0,destroy_random_route,repair_random,0.0
69,21034796876.7,21034796876.7,21034738960.3,919714583.3758475,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
70,21034796876.7,21034805592.5,21034738960.3,917875154.2090957,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
71,21034796876.7,21034796876.7,21034738960.3,916039403.9006776,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
72,21034796876.7,21034805592.5,21034738960.3,914207325.0928762,0.0,0.0,destroy_random_delivery,repair_regret2,0.0
73,21034796876.7,21034796876.7,21034738960.3,912378910.4426905,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
74,21034796876.7,21034805662.199997,21034738960.3,910554152.6218051,0.0,0.0,destroy_random_route,repair_random,0.0
