store,sku,period,predicted_end_qty
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,35,11.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,36,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,37,27.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,38,17.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,39,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,40,10.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,41,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,42,32.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,43,20.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,44,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,45,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,46,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,1,1806.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,2,1774.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,3,1760.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,4,1739.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,5,1725.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,6,1718.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,7,1702.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,8,1602.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,9,1432.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,10,1256.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,11,1035.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,12,900.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,13,819.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,14,670.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,15,499.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,16,206.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,17,191.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,18,112.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,19,42.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,20,144.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,21,123.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,22,3.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,23,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,24,4.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,25,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,26,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,27,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,28,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,29,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,30,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,31,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,32,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,33,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,34,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,35,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,36,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,37,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,38,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,39,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,40,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,41,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,42,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,43,0.0
MM DA NANG,GIFT SET ORION AN 2 890.6G,44,0.0
