model,alns_runtime_seconds,alns_iterations,alns_accepts,alns_improvements,alns_new_best,gurobi_runtime_seconds,lp_iterations,barrier_iterations,nodes_explored,lp_relaxations_solved_estimate,rmp_solves,branch_price_nodes_explored,branch_price_nodes_remaining
baseline_irpt,13.327649375001783,2000.0,1894.0,716.0,1.0,13.327649375001783,0.0,0.0,2000.0,1.0,,,
cg_rmp_total,,,,,,0.021966934204101562,1839.0,0.0,0.0,4.0,4.0,15.0,4.0
