epoch,train_loss,valid_loss,primary_metric,ranking_valid_mrr,ranking_valid_mean_positive_rank,ranking_valid_top1,ranking_valid_top3,ranking_valid_top5,binary_valid_f1,binary_valid_precision,binary_valid_recall,valid_f1,valid_top1,valid_mrr,valid_mean_positive_rank,pos_score,neg_score,score_gap,column_embedding_norm,constraint_embedding_norm,param_update_norm
1,0.5512724625959731,0.3947552612115597,ranking_mrr,0.95,2.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.95,2.0,0.32291343808174133,0.31648311018943787,0.006430327892303467,4.080747127532959,4.047300338745117,0.7370201349258423
2,0.5010626292542407,0.4029731575785012,ranking_mrr,0.95,2.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.95,2.0,0.25967806577682495,0.2773642838001251,-0.01768621802330017,4.109523296356201,4.102260589599609,0.6906486749649048
3,0.4290749482941209,0.42749759760396233,ranking_mrr,0.95,2.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.95,2.0,0.17586524784564972,0.21863916516304016,-0.04277391731739044,4.213409900665283,4.1027092933654785,0.7801876664161682
